symbol,direction,entry_time,entry_price,exit_time,exit_price,stake,multiplier,pnl,outcome,equity_after
1HZ15V,buy,2025-07-11T03:00:00.000Z,15939.733,2025-07-24T00:00:00.000Z,15116.081,1,10,-0.52,BIAS_REVERSAL,9.48
cryBTCUSD,buy,2025-07-11T09:30:00.000Z,118138.55,2025-08-03T00:00:00.000Z,112622.25,1,5,-0.23,BIAS_REVERSAL,9.77
BOOM900,sell,2025-07-12T01:00:00.000Z,9669.181,2025-07-29T00:00:00.000Z,10130.965,1,5,-0.24,BIAS_REVERSAL,9.76
CRASH500,buy,2025-07-12T04:00:00.000Z,2778.228,2025-08-23T00:00:00.000Z,3006.515,1,5,0.41,BIAS_REVERSAL,10.41
JD75,sell,2025-07-12T04:45:00.000Z,17042.94,2025-07-15T14:15:00.000Z,19769.8104,1,5,-0.80,SL,9.20
R_25,buy,2025-07-12T04:45:00.000Z,2808.893,2025-07-25T00:00:00.000Z,2770.168,1,10,-0.14,BIAS_REVERSAL,9.86
1HZ10V,sell,2025-07-12T10:45:00.000Z,8813.27,2025-08-14T00:00:00.000Z,8834.57,1,10,-0.02,BIAS_REVERSAL,9.98
STPRNG,sell,2025-07-12T14:00:00.000Z,8302.8,2025-08-14T00:00:00.000Z,8284.8,1,10,0.02,BIAS_REVERSAL,10.02
BOOM500,buy,2025-07-13T01:00:00.000Z,4397.193,2025-10-15T00:00:00.000Z,5046.475,1,5,0.74,BIAS_REVERSAL,10.74
R_50,buy,2025-07-13T06:00:00.000Z,122.5233,2025-07-19T20:15:00.000Z,112.72143600000001,1,10,-0.80,SL,9.20
R_75,sell,2025-07-13T06:15:00.000Z,101253.1853,2025-08-04T00:00:00.000Z,97770.0719,1,5,0.17,BIAS_REVERSAL,10.17
1HZ50V,sell,2025-07-13T08:15:00.000Z,234969.4,2025-07-18T19:45:00.000Z,253766.95200000002,1,10,-0.80,SL,9.20
BOOM600,buy,2025-07-13T10:45:00.000Z,5503.34,2025-08-09T00:00:00.000Z,5560.091,1,5,0.05,BIAS_REVERSAL,10.05
JD100,sell,2025-07-13T13:45:00.000Z,2768.73,2025-07-29T07:00:00.000Z,3211.7268,1,5,-0.80,SL,9.20
BOOM1000,buy,2025-07-14T04:45:00.000Z,17804.697,2025-08-17T00:00:00.000Z,18093.227,1,5,0.08,BIAS_REVERSAL,10.08
frxXAUUSD,buy,2025-07-14T07:15:00.000Z,3367.78,2025-07-28T00:00:00.000Z,3333.76,1,10,-0.10,BIAS_REVERSAL,9.90
CRASH1000,sell,2025-07-15T03:00:00.000Z,5133.441,2025-07-19T00:00:00.000Z,5281.841,1,5,-0.14,BIAS_REVERSAL,9.86
R_10,buy,2025-07-15T06:30:00.000Z,6320.116,2025-07-19T00:00:00.000Z,6266.992,1,10,-0.08,BIAS_REVERSAL,9.92
1HZ100V,buy,2025-07-15T07:00:00.000Z,625.05,2025-07-29T00:00:00.000Z,650.78,1,5,0.21,BIAS_REVERSAL,10.21
frxUSDJPY,buy,2025-07-15T12:15:00.000Z,147.94,2025-07-24T00:00:00.000Z,146.463,1,10,-0.10,BIAS_REVERSAL,9.90
frxEURUSD,sell,2025-07-15T14:15:00.000Z,1.16361,2025-07-24T00:00:00.000Z,1.17685,1,10,-0.11,BIAS_REVERSAL,9.89
frxGBPUSD,sell,2025-07-15T14:15:00.000Z,1.34083,2025-07-23T00:00:00.000Z,1.35192,1,10,-0.08,BIAS_REVERSAL,9.92
frxUSDCAD,buy,2025-07-15T15:00:00.000Z,1.37193,2025-08-29T00:00:00.000Z,1.37471,1,10,0.02,BIAS_REVERSAL,10.02
frxNZDUSD,sell,2025-07-15T15:00:00.000Z,0.59505,2025-07-24T00:00:00.000Z,0.60439,1,10,-0.16,BIAS_REVERSAL,9.84
CRASH600,sell,2025-07-15T21:00:00.000Z,18613.359,2025-07-21T00:00:00.000Z,19541.861,1,5,-0.25,BIAS_REVERSAL,9.75
STPRNG3,sell,2025-07-16T01:45:00.000Z,11712.7,2025-07-18T00:00:00.000Z,11687.2,1,10,0.02,BIAS_REVERSAL,10.02
JD10,buy,2025-07-16T02:30:00.000Z,85773.62,2025-07-18T00:00:00.000Z,84192.84,1,10,-0.18,BIAS_REVERSAL,9.82
STPRNG4,sell,2025-07-16T05:45:00.000Z,9617.2,2025-07-20T00:00:00.000Z,9664.8,1,10,-0.05,BIAS_REVERSAL,9.95
cryETHUSD,buy,2025-07-16T09:00:00.000Z,3163.615,2025-08-03T00:00:00.000Z,3398.545,1,5,0.37,BIAS_REVERSAL,10.37
frxUSDCHF,buy,2025-07-16T13:15:00.000Z,0.80418,2025-07-22T00:00:00.000Z,0.79913,1,10,-0.06,BIAS_REVERSAL,9.94
JD50,buy,2025-07-16T14:30:00.000Z,31278.26,2025-07-24T11:45:00.000Z,36282.781599999995,1,10,1.60,TP,11.60
JD25,sell,2025-07-16T22:30:00.000Z,119734.83,2025-07-23T10:00:00.000Z,129313.61640000001,1,10,-0.80,SL,9.20
STPRNG2,buy,2025-07-17T07:00:00.000Z,10947,2025-08-24T00:00:00.000Z,11233.4,1,10,0.26,BIAS_REVERSAL,10.26
1HZ75V,sell,2025-07-18T01:00:00.000Z,3891.39,2025-08-01T23:45:00.000Z,4514.0124,1,5,-0.80,SL,9.20
frxXAGUSD,buy,2025-07-18T09:00:00.000Z,38.2958,2025-09-23T11:15:00.000Z,44.423128,1,10,1.60,TP,11.60
frxEURCAD,buy,2025-07-18T12:00:00.000Z,1.5978,2025-12-01T00:00:00.000Z,1.62141,1,10,0.15,BIAS_REVERSAL,10.15
JD10,sell,2025-07-18T13:15:00.000Z,83692.55,2025-08-16T00:00:00.000Z,83908.36,1,10,-0.03,BIAS_REVERSAL,9.79
STPRNG3,buy,2025-07-18T16:00:00.000Z,11731.9,2025-08-04T00:00:00.000Z,11877.1,1,10,0.12,BIAS_REVERSAL,10.15
R_100,buy,2025-07-18T21:30:00.000Z,1065.27,2025-08-11T00:00:00.000Z,956.34,1,5,-0.51,BIAS_REVERSAL,9.49
CRASH1000,buy,2025-07-19T02:00:00.000Z,5294.867,2025-07-20T00:00:00.000Z,5225.139,1,5,-0.07,BIAS_REVERSAL,9.79
R_10,sell,2025-07-19T09:00:00.000Z,6260.354,2025-07-21T00:00:00.000Z,6306.235,1,10,-0.07,BIAS_REVERSAL,9.84
1HZ25V,sell,2025-07-19T13:30:00.000Z,688172.53,2025-09-02T00:00:00.000Z,631072.57,1,10,0.83,BIAS_REVERSAL,10.83
CRASH1000,sell,2025-07-20T01:15:00.000Z,5209.884,2025-07-29T00:00:00.000Z,5415.887,1,5,-0.20,BIAS_REVERSAL,9.59
R_50,sell,2025-07-20T03:00:00.000Z,111.1212,2025-07-21T00:00:00.000Z,113.091,1,10,-0.18,BIAS_REVERSAL,9.02
STPRNG4,buy,2025-07-20T04:00:00.000Z,9716.4,2025-08-19T00:00:00.000Z,9179.6,1,10,-0.55,BIAS_REVERSAL,9.40
1HZ50V,sell,2025-07-20T04:15:00.000Z,239752.38,2025-07-31T10:45:00.000Z,201391.9992,1,10,1.60,TP,10.80
