symbol,window_start,window_end,regime,trades,wins,losses,gross_profit,gross_loss,total_return_pct,max_drawdown_pct,exit_reasons
frxEURUSD,2025-07-09,2025-10-07,ranging/med-vol,3,0,3,0.00,0.42,-4.15,4.15,"BIAS_REVERSAL:2 EOD_MARK:1"
frxEURUSD,2025-08-08,2025-11-06,ranging/low-vol,2,0,2,0.00,0.32,-3.17,3.17,"BIAS_REVERSAL:2"
frxEURUSD,2025-09-07,2025-12-06,ranging/low-vol,2,0,2,0.00,0.20,-1.95,1.95,"BIAS_REVERSAL:1 EOD_MARK:1"
frxEURUSD,2025-10-07,2026-01-05,ranging/low-vol,1,1,0,0.12,0.00,1.18,0,"BIAS_REVERSAL:1"
frxEURUSD,2025-11-06,2026-02-04,ranging/low-vol,1,1,0,0.12,0.00,1.18,0,"BIAS_REVERSAL:1"
frxEURUSD,2025-12-06,2026-03-06,trending/low-vol,1,1,0,0.00,0.00,0.04,0,"BIAS_REVERSAL:1"
frxEURUSD,2026-01-05,2026-04-05,ranging/med-vol,1,1,0,0.01,0.00,0.15,0,"EOD_MARK:1"
frxEURUSD,2026-02-04,2026-05-05,ranging/med-vol,1,0,1,0.00,0.20,-1.99,1.99,"BIAS_REVERSAL:1"
frxEURUSD,2026-03-06,2026-06-04,ranging/low-vol,2,1,1,0.01,0.20,-1.93,1.99,"BIAS_REVERSAL:1 EOD_MARK:1"
frxEURUSD,2026-04-05,2026-07-04,ranging/low-vol,1,1,0,0.15,0.00,1.53,0,"EOD_MARK:1"
frxGBPUSD,2025-07-09,2025-10-07,ranging/med-vol,3,0,3,0.00,0.32,-3.17,3.17,"BIAS_REVERSAL:3"
frxGBPUSD,2025-08-08,2025-11-06,ranging/med-vol,2,1,1,0.13,0.12,0.07,1.19,"BIAS_REVERSAL:1 EOD_MARK:1"
frxGBPUSD,2025-09-07,2025-12-06,ranging/low-vol,2,1,1,0.07,0.12,-0.52,1.19,"BIAS_REVERSAL:2"
frxGBPUSD,2025-10-07,2026-01-05,ranging/low-vol,2,2,0,0.07,0.00,0.73,0,"BIAS_REVERSAL:1 EOD_MARK:1"
frxGBPUSD,2025-11-06,2026-02-04,ranging/low-vol,1,1,0,0.01,0.00,0.11,0,"BIAS_REVERSAL:1"
frxGBPUSD,2025-12-06,2026-03-06,ranging/med-vol,1,1,0,0.01,0.00,0.11,0,"BIAS_REVERSAL:1"
frxGBPUSD,2026-01-05,2026-04-05,trending/med-vol,1,1,0,0.12,0.00,1.19,0,"EOD_MARK:1"
frxGBPUSD,2026-02-04,2026-05-05,ranging/med-vol,1,0,1,0.00,0.12,-1.17,1.17,"BIAS_REVERSAL:1"
frxGBPUSD,2026-03-06,2026-06-04,ranging/med-vol,2,0,2,0.00,0.14,-1.4,1.4,"BIAS_REVERSAL:1 EOD_MARK:1"
frxGBPUSD,2026-04-05,2026-07-04,ranging/med-vol,1,1,0,0.04,0.00,0.36,0,"EOD_MARK:1"
frxUSDJPY,2025-07-09,2025-10-07,ranging/med-vol,3,1,2,0.01,0.38,-3.76,3.76,"BIAS_REVERSAL:2 EOD_MARK:1"
frxUSDJPY,2025-08-08,2025-11-06,ranging/med-vol,2,0,2,0.00,0.45,-4.45,4.45,"BIAS_REVERSAL:2"
frxUSDJPY,2025-09-07,2025-12-06,ranging/med-vol,2,1,1,0.08,0.41,-3.25,4.08,"BIAS_REVERSAL:1 EOD_MARK:1"
frxUSDJPY,2025-10-07,2026-01-05,ranging/med-vol,1,1,0,0.18,0.00,1.85,0,"EOD_MARK:1"
frxUSDJPY,2025-11-06,2026-02-04,trending/med-vol,1,1,0,0.16,0.00,1.59,0,"EOD_MARK:1"
frxUSDJPY,2025-12-06,2026-03-06,ranging/med-vol,1,0,1,0.00,0.18,-1.79,1.79,"BIAS_REVERSAL:1"
frxUSDJPY,2026-01-05,2026-04-05,trending/med-vol,2,1,1,0.07,0.32,-2.44,3.17,"BIAS_REVERSAL:1 EOD_MARK:1"
frxUSDJPY,2026-02-04,2026-05-05,ranging/med-vol,1,0,1,0.00,0.08,-0.79,0.79,"EOD_MARK:1"
frxUSDJPY,2026-03-06,2026-06-04,trending/low-vol,1,1,0,0.11,0.00,1.05,0,"EOD_MARK:1"
frxUSDJPY,2026-04-05,2026-07-04,trending/low-vol,1,1,0,0.10,0.00,1.04,0,"EOD_MARK:1"
frxUSDCHF,2025-07-09,2025-10-07,ranging/med-vol,3,0,3,0.00,0.55,-5.52,5.52,"BIAS_REVERSAL:3"
frxUSDCHF,2025-08-08,2025-11-06,ranging/med-vol,1,0,1,0.00,0.22,-2.24,2.24,"BIAS_REVERSAL:1"
